Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Weight Unit,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Price / International,Compare At Price / International,Status
diaper,Diaper,,croftshill-enterprise,Apparel & Accessories > Clothing > Baby & Toddler Clothing,,CDLLB,FALSE,,Large Little Berry C S 990,,,,,,0.0,kg,shopify,100,deny,manual,1260.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CDLLB.png,,,1260.00,1260.00,active
diaper,Diaper,,croftshill-enterprise,Apparel & Accessories > Clothing > Baby & Toddler Clothing,,CDMLB,FALSE,,Medium Little Berry C S 980,,,,,,0.0,kg,shopify,100,deny,manual,1250.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CDMLB.png,,,1250.00,1250.00,active
diaper,Diaper,,croftshill-enterprise,Apparel & Accessories > Clothing > Baby & Toddler Clothing,,CDSLB,FALSE,,Small Little Berry C S 970,,,,,,0.0,kg,shopify,100,deny,manual,1240.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CDSLB.png,,,1240.00,1240.00,active
diaper,Diaper,,croftshill-enterprise,Apparel & Accessories > Clothing > Baby & Toddler Clothing,,CDXLLB,FALSE,,Extra Large Little Berry C S 1000,,,,,,0.0,kg,shopify,100,deny,manual,1270.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CDXLLB.png,,,1270.00,1270.00,active
mask-corona-n-95-virus,Mask Corona N 95 Virus,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear > Protective Masks,,CMPCN95,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,250.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CMPCN95.png,,,250.00,250.00,active
dust-mask,Dust Mask,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear > Protective Masks,,CMPD,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,70.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CMPD.png,,,70.00,70.00,active
reusable-cotton-mask,Reusable Cotton Mask,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear > Protective Masks,,CMPRc,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,300.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CMPRc.png,,,300.00,300.00,active
surgical-masks,Surgical Masks,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear > Protective Masks,,CMPS,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,200.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CMPS.png,,,200.00,200.00,active
workman-pants-snickers,Workman Pants Snickers,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPPWs,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,2500.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPPWs.png,,,2500.00,2500.00,active
back-strap-brace,Back Strap Brace,,croftshill-enterprise,Business & Industrial > Work Safety Protective Gear,,CPWBSB,FALSE,Title,Default Title,,,,,,0.0,kg,shopify,100,deny,manual,4500.00,,FALSE,TRUE,,https://s3.amazonaws.com/croftshillent.com-photos/CPWBSB.png,,,4500.00,4500.00,active
